,French,English
0,histoire,history
1,chercher,search
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,ville,city
16,parlé,speak
17,arrivé,come
18,devrait,should
19,bébé,baby
20,longtemps,long time
21,heures,hours
22,vont,will
23,pendant,while
24,revoir,meet again
25,aucune,any
26,place,square
27,parle,speak
28,compris,understood
29,savais,knew
30,étaient,were
31,attention,Warning
32,voici,here is
33,affaire,case
34,donner,give
35,type,type
36,leurs,their
37,train,train
38,endroit,place
39,yeux,eyes
40,façon,way
41,dont,whose
42,trouve,find
43,premier,first
44,perdu,lost
45,main,hand
46,première,first
47,côté,side
48,pouvoir,power
49,vieux,old
50,sois,be
51,tiens,here
52,matin,morning
53,tellement,so much
54,enfant,child
55,point,point
56,venu,came
57,suite,after
58,pardon,sorry
59,venez,come
60,devant,in front of
61,vers,towards
62,minutes,minutes
63,demandé,request
64,chambre,bedroom
65,belle,beautiful
66,droit,law
67,aimerais,would like to
68,aujourd'hui,today
69,cause,cause
70,enfin,finally
71,espère,hope
72,eau,water
73,attendez,Wait
74,parti,left
75,nouvelle,new
76,boulot,job
77,arrêter,Stop
78,dirait,would say
79,terre,Earth
80,compte,account
81,donne,given
82,loin,far
83,fin,end
84,croire,believe
85,chérie,sweetheart
86,gros,large
87,plutôt,rather
88,aura,will have
89,filles,girls
90,jouer,to play
91,bureau,office
